MesContable,MesCreacion,Numero,Cuenta,TipoSaldo,TipoOrigen,Cant,Total_Importe1,Importe_cierre,Importe_operativo
b'2025-02',b'2025-06',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,54770498.0,54770498.0,0.0
b'2025-03',b'2025-06',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,47148404.0,0.0,47148404.0
b'2025-04',b'2025-06',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,50595071.8,0.0,50595071.8
b'2025-01',b'2025-06',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,46879887.0,46879887.0,0.0
b'2025-06',b'2025-07',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,63292382.0,0.0,63292382.0
b'2025-05',b'2025-07',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,42763469.0,0.0,42763469.0
b'2025-07',b'2025-08',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,9,52449429.0,0.0,52449429.0
b'2025-08',b'2025-08',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,9,46596307.0,0.0,46596307.0
b'2025-07',b'2025-08',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,2,1,4075571.0,0.0,4075571.0
b'2025-09',b'2025-09',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,12,46351788.0,0.0,46351788.0
b'2025-07',b'2025-09',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,46663062.0,46663062.0,0.0
b'2025-10',b'2025-10',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,4,45246818.0,0.0,45246818.0
b'2025-11',b'2025-11',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,8,48595356.0,0.0,48595356.0
b'2025-12',b'2025-12',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,12,101124966.52,0.0,101124966.52
b'2025-10',b'2025-12',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,3,1700000.0,0.0,1700000.0
b'2025-12',b'2025-12',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,2,3,20936703.0,0.0,20936703.0
b'2026-01',b'2026-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,10,67567768.48,0.0,67567768.48
b'2025-11',b'2026-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,0,1,29003.38,29003.38,0.0
b'2025-10',b'2026-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,1,100000.0,0.0,100000.0
b'2025-08',b'2026-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,45769033.0,45769033.0,0.0
b'2025-09',b'2026-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,47362818.0,47362818.0,0.0
b'2025-10',b'2026-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,48395355.58,48395355.58,0.0
b'2025-11',b'2026-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,73494777.0,73494777.0,0.0
b'2026-02',b'2026-02',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,9,60800596.0,0.0,60800596.0
b'2026-03',b'2026-03',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,12,65138724.0,0.0,65138724.0
b'2026-04',b'2026-04',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,10,62396206.0,0.0,62396206.0
b'2026-05',b'2026-05',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,10,71273490.0,0.0,71273490.0
b'2025-12',b'2026-05',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,2,73621255.0,2791478.0,70829777.0
b'2026-04',b'2026-06',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,1,2605358.0,0.0,2605358.0
b'2026-06',b'2026-06',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,2,10,87514998.5,0.0,87514998.5
b'2026-04',b'2026-06',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,2,1,2605358.0,0.0,2605358.0
b'2025-12',b'2026-07',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,11,1,64927768.48,64927768.48,0.0
b'2026-07',b'2026-07',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,0,1,64927768.48,64927768.48,0.0
b'2024-01',b'2024-01',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,5,646017.79,0.0,646017.79
b'2023-12',b'2024-01',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,898650.61,0.0,898650.61
b'2023-01',b'2024-01',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,175660.0,175660.0,0.0
b'2024-02',b'2024-02',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,4,768370.75,0.0,768370.75
b'2024-01',b'2024-02',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,768370.75,0.0,768370.75
b'2024-03',b'2024-03',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,4,1011351.87,0.0,1011351.87
b'2024-02',b'2024-03',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,1011351.87,1011351.87,0.0
b'2024-04',b'2024-04',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,4,1337262.39,0.0,1337262.39
b'2024-03',b'2024-04',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,1337262.39,0.0,1337262.39
b'2023-12',b'2024-04',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,579471.32,579471.32,0.0
b'2024-05',b'2024-05',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,4,1581556.3,0.0,1581556.3
b'2023-12',b'2024-05',21301003,RETENCION Y EMBARGO JUDICIALES,0,11,1,646017.79,646017.79,0.0
b'2024-06',b'2024-06',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,8,2126292.96,0.0,2126292.96
b'2024-07',b'2024-07',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,4,1666813.49,0.0,1666813.49
b'2024-08',b'2024-08',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,4,1684230.04,0.0,1684230.04
b'2024-09',b'2024-09',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,5,1921366.0,0.0,1921366.0
b'2024-01',b'2024-09',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,646017.79,646017.79,0.0
b'2024-10',b'2024-10',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,6,2279405.88,0.0,2279405.88
b'2024-08',b'2024-10',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,1921366.0,0.0,1921366.0
b'2024-05',b'2024-10',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,1576280.39,0.0,1576280.39
b'2024-04',b'2024-10',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,1581556.3,0.0,1581556.3
b'2024-09',b'2024-10',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,2279405.88,0.0,2279405.88
b'2024-06',b'2024-10',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,2216826.06,0.0,2216826.06
